codigo,bairro,casos,ano,latitude,longitude
1,RECIFE,71.0,2016,-8.053206,-34.87075
2,SANTO ANTONIO,11.0,2016,-8.064813000000001,-34.880369
3,SAO JOSE,138.0,2016,-8.07165,-34.88413
4,ILHA JOANA BEZERRA,158.0,2016,-8.070504,-34.896815000000004
5,CABANGA,27.0,2016,-8.079618,-34.89416
6,COELHOS,124.0,2016,-8.067982,-34.889387
7,ILHA DO LEITE,13.0,2016,-8.065111,-34.894812
8,BOA VISTA,155.0,2016,-8.055406,-34.89516
9,PAISSANDU,5.0,2016,-8.06361,-34.898990000000005
10,SANTO AMARO,130.0,2016,-8.045555,-34.878511
11,SOLEDADE,11.0,2016,-8.056275,-34.890705
12,ESPINHEIRO,42.0,2016,-8.043146,-34.891331
13,AFLITOS,18.0,2016,-8.039793,-34.896185
14,DERBY,15.0,2016,-8.056205,-34.899669
15,JAQUEIRA,7.0,2016,-8.036313,-34.903717
16,GRACAS,73.0,2016,-8.045171,-34.902063
17,ENCRUZILHADA,58.0,2016,-8.037251,-34.891
18,ROSARINHO,47.0,2016,-8.033114999999999,-34.89751
19,TAMARINEIRA,70.0,2016,-8.029621,-34.90034
20,BOA VIAGEM,537.0,2016,-8.131781,-34.902269
21,IPSEP,263.0,2016,-8.107398,-34.923199
22,JORDAO,300.0,2016,-8.135926,-34.935478
23,IBURA,643.0,2016,-8.110188,-34.936605
24,PINA,206.0,2016,-8.094104,-34.885537
25,BRASILIA TEIMOSA,101.0,2016,-8.08347,-34.88036
26,IMBIRIBEIRA,597.0,2016,-8.103817,-34.91067
27,TORREAO,4.0,2016,-8.039849,-34.88381
28,CAMPO GRANDE,233.0,2016,-8.032156,-34.881355
29,PEIXINHOS,52.0,2016,-8.020226,-34.87741
30,HIPODROMO,9.0,2016,-8.032544999999999,-34.887917
31,CAMPINA DO BARRETO,226.0,2016,-8.016906,-34.882409
32,ARRUDA,180.0,2016,-8.025246000000001,-34.893499
33,AGUA FRIA,495.0,2016,-8.014927,-34.896827
34,FUNDAO,71.0,2016,-8.014994,-34.890137
35,CAJUEIRO,73.0,2016,-8.011376,-34.885870000000004
36,PORTO DA MADEIRA,52.0,2016,-8.008517,-34.891378
37,BEBERIBE,90.0,2016,-8.004758,-34.896214
38,LINHA DO TIRO,187.0,2016,-8.008627,-34.904617
39,DOIS UNIDOS,297.0,2016,-8.00173,-34.914193
40,PASSARINHO,78.0,2016,-7.979706,-34.918388
41,GUABIRABA,89.0,2016,-7.951867999999997,-34.95952800000001
42,BOMBA DO HEMETERIO,222.0,2016,-8.021554,-34.900849
43,CASA AMARELA,485.0,2016,-8.026561000000001,-34.917834
44,CASA FORTE,58.0,2016,-8.033565,-34.918972
45,SANTANA,6.0,2016,-8.040554,-34.915802
46,PARNAMIRIM,26.0,2016,-8.033436,-34.910388
47,POCO,38.0,2016,-8.035300999999999,-34.92445900000001
48,MONTEIRO,8.0,2016,-8.025561999999999,-34.929957
49,MUSTARDINHA,101.0,2016,-8.022468,-34.927362
50,ALTO DO MANDU,33.0,2016,-8.019751,-34.935721
51,APIPUCOS,43.0,2016,-8.024122,-34.903116
52,MANGABEIRA,86.0,2016,-8.0231,-34.907943
53,ALTO JOSE DO PINHO,80.0,2016,-8.019607,-34.914148
54,MORRO DA CONCEICAO,62.0,2016,-8.013323,-34.913209
55,ALTO JOSE BONIFACIO,227.0,2016,-8.014012,-34.918771
56,VASCO DA GAMA,488.0,2016,-7.999642999999999,-34.928185
57,NOVA DESCOBERTA,26.0,2016,-7.9990679999999985,-34.923817
58,BREJO DE BEBERIBE,292.0,2016,-8.013219,-34.929191
59,MACAXEIRA,94.0,2016,-8.016205000000001,-34.945227
60,DOIS IRMAOS,61.0,2016,-8.013121,-34.958253000000006
61,SITIO DOS PINTOS,68.0,2016,-7.992955999999999,-34.932724
62,BREJO DA GUABIRABA,265.0,2016,-8.006592999999999,-34.935516
63,PAU FERRO,0.0,2016,-7.969189999999997,-34.903029
64,CORREGO DO JENIPAPO,246.0,2016,-8.053617,-34.908751
65,MADALENA,202.0,2016,-8.045102,-34.909890999999995
66,TORRE,84.0,2016,-8.061247999999999,-34.912754
67,PRADO,71.0,2016,-8.05297,-34.916813
68,ZUMBI,493.0,2016,-8.047963000000001,-34.928419
69,CORDEIRO,965.0,2016,-8.036721,-34.935334999999995
70,IPUTINGA,530.0,2016,-8.059511,-34.935967
71,TORROES,165.0,2016,-8.056532,-34.943762
72,ENGENHO DO MEIO,42.0,2016,-8.052783999999999,-34.951508000000004
73,CIDADE UNIVERSITARIA,1130.0,2016,-8.048963,-34.975789
74,VARZEA,181.0,2016,-8.026064,-34.952701
75,CAXANGA,93.0,2016,-8.071307000000001,-34.953931
76,CURADO,55.0,2016,-8.064894,-34.905172
77,ILHA DO RETIRO,536.0,2016,-8.077067,-34.909214
78,AFOGADOS,149.0,2016,-8.070677,-34.919719
79,MANGUEIRA,126.0,2016,-8.076649,-34.921026
80,BONGI,184.0,2016,-8.065056,-34.920541
81,SAN MARTIN,317.0,2016,-8.070967,-34.92876
82,JIQUIA,92.0,2016,-8.086136999999999,-34.924493
83,ESTANCIA,168.0,2016,-8.083327,-34.929986
84,CACOTE,42.0,2016,-8.101693,-34.931614
85,AREIAS,499.0,2016,-8.093277,-34.931612
86,JARDIM SAO PAULO,324.0,2016,-8.080888999999999,-34.943231
87,BARRO,197.0,2016,-8.097292999999999,-34.955087
88,COHAB,1245.0,2016,-8.118488000000001,-34.954687
89,TEJIPIO,100.0,2016,-8.089542,-34.960286
90,SANCHO,58.0,2016,-8.084928999999999,-34.960321
91,TOTO,66.0,2016,-8.082498,-34.967886
92,COQUEIRAL,116.0,2016,-8.086464,-34.968576
93,PONTO DE PARADA,33.0,2016,-8.029686,-34.893442
94,ALTO SANTA TEREZINHA,33.0,2016,-8.016653999999999,-34.908599
