Codigo,Bairro,Semana,ano,latitude,longitude
2,SANTO ANTONIO,2,2014,-8.054056,-34.870922
2,SANTO ANTONIO,8,2014,-8.065004,-34.880369
3,SAO JOSE,3,2014,-8.072325,-34.884105
3,SAO JOSE,11,2014,-8.070706,-34.896815000000004
3,SAO JOSE,20,2014,-8.079862,-34.89416
3,SAO JOSE,21,2014,-8.068184,-34.889312
3,SAO JOSE,26,2014,-8.065334,-34.894834
4,ILHA JOANA BEZERRA,13,2014,-8.055959,-34.895418
4,ILHA JOANA BEZERRA,14,2014,-8.063769,-34.899011
4,ILHA JOANA BEZERRA,16,2014,-8.046277,-34.878683
4,ILHA JOANA BEZERRA,17,2014,-8.056498,-34.890705
4,ILHA JOANA BEZERRA,19,2014,-8.043167,-34.891438
4,ILHA JOANA BEZERRA,21,2014,-8.039793,-34.896217
4,ILHA JOANA BEZERRA,23,2014,-8.056225999999999,-34.899658
6,COELHOS,8,2014,-8.036324,-34.903728
6,COELHOS,8,2014,-8.045213,-34.902105999999996
6,COELHOS,10,2014,-8.037272,-34.891022
6,COELHOS,12,2014,-8.033094,-34.89751
6,COELHOS,14,2014,-8.030194999999999,-34.902829
6,COELHOS,22,2014,-8.131611,-34.902440999999996
8,BOA VISTA,2,2014,-8.109995,-34.921434000000005
8,BOA VISTA,3,2014,-8.135841000000001,-34.935564
8,BOA VISTA,4,2014,-8.120724000000001,-34.932485
8,BOA VISTA,5,2014,-8.092999,-34.894549
8,BOA VISTA,6,2014,-8.083491,-34.880403
8,BOA VISTA,7,2014,-8.103732,-34.910841
8,BOA VISTA,10,2014,-8.039843,-34.883807
8,BOA VISTA,16,2014,-8.032241,-34.881398
8,BOA VISTA,17,2014,-8.018802,-34.877088
8,BOA VISTA,18,2014,-8.032523,-34.88796
8,BOA VISTA,19,2014,-8.016928,-34.882473
8,BOA VISTA,20,2014,-8.025182000000001,-34.893521
8,BOA VISTA,22,2014,-8.014991,-34.89687
8,BOA VISTA,23,2014,-8.014228999999998,-34.891982
8,BOA VISTA,23,2014,-8.011387,-34.885902
8,BOA VISTA,24,2014,-8.007646000000001,-34.890155
8,BOA VISTA,26,2014,-8.0048,-34.896246000000005
9,PAISSANDU,17,2014,-8.008606,-34.904703000000005
10,SANTO AMARO,1,2014,-7.998286,-34.913034
10,SANTO AMARO,13,2014,-7.979706,-34.918302000000004
10,SANTO AMARO,15,2014,-7.981763000000001,-34.937008
10,SANTO AMARO,15,2014,-8.021554,-34.900892
10,SANTO AMARO,17,2014,-8.026561000000001,-34.917834
10,SANTO AMARO,18,2014,-8.033522999999999,-34.918972
10,SANTO AMARO,20,2014,-8.040564999999999,-34.915822999999996
10,SANTO AMARO,23,2014,-8.033425,-34.910441999999996
10,SANTO AMARO,24,2014,-8.035322,-34.924479999999996
10,SANTO AMARO,24,2014,-8.025561999999999,-34.929978000000006
10,SANTO AMARO,27,2014,-8.022458,-34.927372999999996
11,SOLEDADE,21,2014,-8.019751,-34.935871
12,ESPINHEIRO,49,2014,-8.024132,-34.903105
12,ESPINHEIRO,52,2014,-8.023089,-34.907942999999996
12,ESPINHEIRO,1,2014,-8.019586,-34.914105
12,ESPINHEIRO,6,2014,-8.013365,-34.913295
12,ESPINHEIRO,6,2014,-8.014012,-34.918771
12,ESPINHEIRO,11,2014,-8.003255000000001,-34.926511
12,ESPINHEIRO,16,2014,-7.999047,-34.923881
12,ESPINHEIRO,19,2014,-8.013177,-34.929234
12,ESPINHEIRO,19,2014,-8.016247,-34.945398
12,ESPINHEIRO,20,2014,-8.013121,-34.958403000000004
12,ESPINHEIRO,20,2014,-7.993024,-34.932774
12,ESPINHEIRO,21,2014,-8.003108000000001,-34.936503
12,ESPINHEIRO,22,2014,-7.969003999999999,-34.970188
13,AFLITOS,11,2014,-8.053574000000001,-34.908773
13,AFLITOS,12,2014,-8.045059,-34.909934
13,AFLITOS,14,2014,-8.060058,-34.916745
13,AFLITOS,15,2014,-8.052906,-34.917896
13,AFLITOS,16,2014,-8.049875,-34.927646
13,AFLITOS,16,2014,-8.036721,-34.935421000000005
13,AFLITOS,17,2014,-8.059447,-34.936009999999996
14,DERBY,23,2014,-8.056574000000001,-34.943740000000005
15,JAQUEIRA,14,2014,-8.051434,-34.950202000000004
15,JAQUEIRA,17,2014,-8.047943,-34.971069
16,GRACAS,2,2014,-8.026085,-34.952809
16,GRACAS,3,2014,-8.071222,-34.954103
16,GRACAS,7,2014,-8.064926,-34.905193
16,GRACAS,7,2014,-8.077035,-34.90916
16,GRACAS,7,2014,-8.070698,-34.919740000000004
16,GRACAS,18,2014,-8.076649,-34.921046999999994
16,GRACAS,19,2014,-8.065584,-34.918094
16,GRACAS,20,2014,-8.071010000000001,-34.928781
16,GRACAS,21,2014,-8.085967,-34.924493
17,ENCRUZILHADA,2,2014,-8.083306,-34.930008
17,ENCRUZILHADA,3,2014,-8.10148,-34.932815000000005
17,ENCRUZILHADA,8,2014,-8.093361999999999,-34.931526
17,ENCRUZILHADA,10,2014,-8.080932,-34.943296000000004
17,ENCRUZILHADA,11,2014,-8.096103,-34.953499
17,ENCRUZILHADA,12,2014,-8.11853,-34.954772999999996
17,ENCRUZILHADA,13,2014,-8.089563,-34.960372
17,ENCRUZILHADA,14,2014,-8.084961,-34.960321
17,ENCRUZILHADA,14,2014,-8.082477,-34.967886
17,ENCRUZILHADA,16,2014,-8.086432,-34.968609
17,ENCRUZILHADA,16,2014,-8.029665,-34.893462
17,ENCRUZILHADA,17,2014,-8.016696000000001,-34.908642
17,ENCRUZILHADA,18,2014,,
17,ENCRUZILHADA,22,2014,,
17,ENCRUZILHADA,22,2014,,
17,ENCRUZILHADA,22,2014,,
17,ENCRUZILHADA,24,2014,,
17,ENCRUZILHADA,26,2014,,
17,ENCRUZILHADA,26,2014,,
17,ENCRUZILHADA,27,2014,,
17,ENCRUZILHADA,27,2014,,
18,ROSARINHO,52,2014,,
18,ROSARINHO,6,2014,,
18,ROSARINHO,7,2014,,
18,ROSARINHO,10,2014,,
18,ROSARINHO,21,2014,,
18,ROSARINHO,22,2014,,
18,ROSARINHO,23,2014,,
18,ROSARINHO,27,2014,,
19,TAMARINEIRA,1,2014,,
19,TAMARINEIRA,7,2014,,
19,TAMARINEIRA,15,2014,,
19,TAMARINEIRA,16,2014,,
19,TAMARINEIRA,17,2014,,
19,TAMARINEIRA,18,2014,,
19,TAMARINEIRA,21,2014,,
19,TAMARINEIRA,23,2014,,
20,BOA VIAGEM,47,2014,,
20,BOA VIAGEM,49,2014,,
20,BOA VIAGEM,1,2014,,
20,BOA VIAGEM,1,2014,,
20,BOA VIAGEM,2,2014,,
20,BOA VIAGEM,2,2014,,
20,BOA VIAGEM,3,2014,,
20,BOA VIAGEM,4,2014,,
20,BOA VIAGEM,5,2014,,
20,BOA VIAGEM,5,2014,,
20,BOA VIAGEM,6,2014,,
20,BOA VIAGEM,7,2014,,
20,BOA VIAGEM,7,2014,,
20,BOA VIAGEM,7,2014,,
20,BOA VIAGEM,7,2014,,
20,BOA VIAGEM,7,2014,,
20,BOA VIAGEM,9,2014,,
20,BOA VIAGEM,9,2014,,
20,BOA VIAGEM,11,2014,,
20,BOA VIAGEM,12,2014,,
20,BOA VIAGEM,12,2014,,
20,BOA VIAGEM,12,2014,,
20,BOA VIAGEM,13,2014,,
20,BOA VIAGEM,14,2014,,
20,BOA VIAGEM,14,2014,,
20,BOA VIAGEM,14,2014,,
20,BOA VIAGEM,15,2014,,
20,BOA VIAGEM,15,2014,,
20,BOA VIAGEM,15,2014,,
20,BOA VIAGEM,15,2014,,
20,BOA VIAGEM,15,2014,,
20,BOA VIAGEM,16,2014,,
20,BOA VIAGEM,16,2014,,
20,BOA VIAGEM,16,2014,,
20,BOA VIAGEM,16,2014,,
20,BOA VIAGEM,17,2014,,
20,BOA VIAGEM,18,2014,,
20,BOA VIAGEM,18,2014,,
20,BOA VIAGEM,18,2014,,
20,BOA VIAGEM,19,2014,,
20,BOA VIAGEM,19,2014,,
20,BOA VIAGEM,19,2014,,
20,BOA VIAGEM,20,2014,,
20,BOA VIAGEM,21,2014,,
20,BOA VIAGEM,22,2014,,
20,BOA VIAGEM,23,2014,,
20,BOA VIAGEM,23,2014,,
20,BOA VIAGEM,24,2014,,
20,BOA VIAGEM,24,2014,,
20,BOA VIAGEM,25,2014,,
20,BOA VIAGEM,25,2014,,
20,BOA VIAGEM,26,2014,,
20,BOA VIAGEM,31,2014,,
21,IPSEP,52,2014,,
21,IPSEP,1,2014,,
21,IPSEP,4,2014,,
21,IPSEP,4,2014,,
21,IPSEP,5,2014,,
21,IPSEP,7,2014,,
21,IPSEP,9,2014,,
21,IPSEP,9,2014,,
21,IPSEP,10,2014,,
21,IPSEP,12,2014,,
21,IPSEP,13,2014,,
21,IPSEP,15,2014,,
21,IPSEP,15,2014,,
21,IPSEP,15,2014,,
21,IPSEP,17,2014,,
21,IPSEP,20,2014,,
21,IPSEP,20,2014,,
21,IPSEP,21,2014,,
21,IPSEP,22,2014,,
21,IPSEP,26,2014,,
21,IPSEP,27,2014,,
22,JORDAO,9,2014,,
22,JORDAO,45,2014,,
22,JORDAO,1,2014,,
22,JORDAO,1,2014,,
22,JORDAO,3,2014,,
22,JORDAO,3,2014,,
22,JORDAO,8,2014,,
22,JORDAO,13,2014,,
22,JORDAO,20,2014,,
22,JORDAO,20,2014,,
22,JORDAO,21,2014,,
22,JORDAO,22,2014,,
22,JORDAO,22,2014,,
22,JORDAO,23,2014,,
22,JORDAO,23,2014,,
22,JORDAO,25,2014,,
22,JORDAO,25,2014,,
22,JORDAO,25,2014,,
22,JORDAO,26,2014,,
22,JORDAO,28,2014,,
22,JORDAO,29,2014,,
22,JORDAO,29,2014,,
22,JORDAO,29,2014,,
22,JORDAO,29,2014,,
23,IBURA,46,2014,,
23,IBURA,50,2014,,
23,IBURA,50,2014,,
23,IBURA,2,2014,,
23,IBURA,4,2014,,
23,IBURA,4,2014,,
23,IBURA,4,2014,,
23,IBURA,5,2014,,
23,IBURA,6,2014,,
23,IBURA,6,2014,,
23,IBURA,7,2014,,
23,IBURA,7,2014,,
23,IBURA,8,2014,,
23,IBURA,8,2014,,
23,IBURA,8,2014,,
23,IBURA,9,2014,,
23,IBURA,11,2014,,
23,IBURA,12,2014,,
23,IBURA,12,2014,,
23,IBURA,13,2014,,
23,IBURA,14,2014,,
23,IBURA,15,2014,,
23,IBURA,15,2014,,
23,IBURA,15,2014,,
23,IBURA,15,2014,,
23,IBURA,16,2014,,
23,IBURA,16,2014,,
23,IBURA,17,2014,,
23,IBURA,17,2014,,
23,IBURA,17,2014,,
23,IBURA,17,2014,,
23,IBURA,17,2014,,
23,IBURA,18,2014,,
23,IBURA,18,2014,,
23,IBURA,18,2014,,
23,IBURA,18,2014,,
23,IBURA,19,2014,,
23,IBURA,19,2014,,
23,IBURA,19,2014,,
23,IBURA,19,2014,,
23,IBURA,19,2014,,
23,IBURA,19,2014,,
23,IBURA,19,2014,,
23,IBURA,20,2014,,
23,IBURA,20,2014,,
23,IBURA,20,2014,,
23,IBURA,20,2014,,
23,IBURA,20,2014,,
23,IBURA,20,2014,,
23,IBURA,20,2014,,
23,IBURA,21,2014,,
23,IBURA,21,2014,,
23,IBURA,22,2014,,
23,IBURA,22,2014,,
23,IBURA,22,2014,,
23,IBURA,22,2014,,
23,IBURA,22,2014,,
23,IBURA,22,2014,,
23,IBURA,22,2014,,
23,IBURA,23,2014,,
23,IBURA,23,2014,,
23,IBURA,23,2014,,
23,IBURA,23,2014,,
23,IBURA,23,2014,,
23,IBURA,23,2014,,
23,IBURA,23,2014,,
23,IBURA,24,2014,,
23,IBURA,24,2014,,
23,IBURA,24,2014,,
23,IBURA,25,2014,,
23,IBURA,26,2014,,
23,IBURA,26,2014,,
23,IBURA,27,2014,,
23,IBURA,27,2014,,
23,IBURA,27,2014,,
23,IBURA,28,2014,,
23,IBURA,28,2014,,
23,IBURA,29,2014,,
23,IBURA,29,2014,,
24,PINA,47,2014,,
24,PINA,3,2014,,
24,PINA,6,2014,,
24,PINA,7,2014,,
24,PINA,9,2014,,
24,PINA,10,2014,,
24,PINA,11,2014,,
24,PINA,12,2014,,
24,PINA,13,2014,,
24,PINA,14,2014,,
24,PINA,20,2014,,
24,PINA,20,2014,,
24,PINA,21,2014,,
24,PINA,21,2014,,
24,PINA,21,2014,,
24,PINA,22,2014,,
25,BRASILIA TEIMOSA,4,2014,,
25,BRASILIA TEIMOSA,10,2014,,
25,BRASILIA TEIMOSA,10,2014,,
25,BRASILIA TEIMOSA,12,2014,,
25,BRASILIA TEIMOSA,14,2014,,
25,BRASILIA TEIMOSA,15,2014,,
25,BRASILIA TEIMOSA,16,2014,,
25,BRASILIA TEIMOSA,19,2014,,
26,IMBIRIBEIRA,45,2014,,
26,IMBIRIBEIRA,52,2014,,
26,IMBIRIBEIRA,3,2014,,
26,IMBIRIBEIRA,4,2014,,
26,IMBIRIBEIRA,5,2014,,
26,IMBIRIBEIRA,5,2014,,
26,IMBIRIBEIRA,7,2014,,
26,IMBIRIBEIRA,7,2014,,
26,IMBIRIBEIRA,8,2014,,
26,IMBIRIBEIRA,8,2014,,
26,IMBIRIBEIRA,9,2014,,
26,IMBIRIBEIRA,10,2014,,
26,IMBIRIBEIRA,10,2014,,
26,IMBIRIBEIRA,10,2014,,
26,IMBIRIBEIRA,11,2014,,
26,IMBIRIBEIRA,12,2014,,
26,IMBIRIBEIRA,12,2014,,
26,IMBIRIBEIRA,12,2014,,
26,IMBIRIBEIRA,14,2014,,
26,IMBIRIBEIRA,14,2014,,
26,IMBIRIBEIRA,15,2014,,
26,IMBIRIBEIRA,15,2014,,
26,IMBIRIBEIRA,15,2014,,
26,IMBIRIBEIRA,16,2014,,
26,IMBIRIBEIRA,16,2014,,
26,IMBIRIBEIRA,17,2014,,
26,IMBIRIBEIRA,20,2014,,
26,IMBIRIBEIRA,22,2014,,
26,IMBIRIBEIRA,22,2014,,
26,IMBIRIBEIRA,22,2014,,
26,IMBIRIBEIRA,25,2014,,
26,IMBIRIBEIRA,26,2014,,
27,TORREAO,1,2014,,
28,CAMPO GRANDE,36,2014,,
28,CAMPO GRANDE,52,2014,,
28,CAMPO GRANDE,2,2014,,
28,CAMPO GRANDE,3,2014,,
28,CAMPO GRANDE,3,2014,,
28,CAMPO GRANDE,4,2014,,
28,CAMPO GRANDE,4,2014,,
28,CAMPO GRANDE,7,2014,,
28,CAMPO GRANDE,10,2014,,
28,CAMPO GRANDE,11,2014,,
28,CAMPO GRANDE,12,2014,,
28,CAMPO GRANDE,12,2014,,
28,CAMPO GRANDE,15,2014,,
28,CAMPO GRANDE,16,2014,,
28,CAMPO GRANDE,17,2014,,
28,CAMPO GRANDE,18,2014,,
28,CAMPO GRANDE,21,2014,,
28,CAMPO GRANDE,21,2014,,
28,CAMPO GRANDE,22,2014,,
28,CAMPO GRANDE,22,2014,,
28,CAMPO GRANDE,23,2014,,
28,CAMPO GRANDE,24,2014,,
28,CAMPO GRANDE,25,2014,,
28,CAMPO GRANDE,25,2014,,
28,CAMPO GRANDE,27,2014,,
28,CAMPO GRANDE,28,2014,,
29,PEIXINHOS,7,2014,,
30,HIPODROMO,26,2014,,
31,CAMPINA DO BARRETO,2,2014,,
31,CAMPINA DO BARRETO,7,2014,,
31,CAMPINA DO BARRETO,7,2014,,
31,CAMPINA DO BARRETO,9,2014,,
31,CAMPINA DO BARRETO,9,2014,,
31,CAMPINA DO BARRETO,10,2014,,
31,CAMPINA DO BARRETO,11,2014,,
31,CAMPINA DO BARRETO,12,2014,,
31,CAMPINA DO BARRETO,13,2014,,
31,CAMPINA DO BARRETO,15,2014,,
31,CAMPINA DO BARRETO,15,2014,,
31,CAMPINA DO BARRETO,15,2014,,
31,CAMPINA DO BARRETO,18,2014,,
31,CAMPINA DO BARRETO,20,2014,,
31,CAMPINA DO BARRETO,21,2014,,
31,CAMPINA DO BARRETO,21,2014,,
31,CAMPINA DO BARRETO,23,2014,,
31,CAMPINA DO BARRETO,23,2014,,
31,CAMPINA DO BARRETO,23,2014,,
31,CAMPINA DO BARRETO,27,2014,,
31,CAMPINA DO BARRETO,27,2014,,
31,CAMPINA DO BARRETO,28,2014,,
31,CAMPINA DO BARRETO,28,2014,,
32,ARRUDA,4,2014,,
32,ARRUDA,5,2014,,
32,ARRUDA,6,2014,,
32,ARRUDA,7,2014,,
32,ARRUDA,7,2014,,
32,ARRUDA,9,2014,,
32,ARRUDA,10,2014,,
32,ARRUDA,12,2014,,
32,ARRUDA,17,2014,,
32,ARRUDA,17,2014,,
32,ARRUDA,17,2014,,
32,ARRUDA,18,2014,,
32,ARRUDA,20,2014,,
32,ARRUDA,22,2014,,
32,ARRUDA,22,2014,,
32,ARRUDA,23,2014,,
32,ARRUDA,25,2014,,
33,AGUA FRIA,51,2014,,
33,AGUA FRIA,3,2014,,
33,AGUA FRIA,4,2014,,
33,AGUA FRIA,4,2014,,
33,AGUA FRIA,5,2014,,
33,AGUA FRIA,6,2014,,
33,AGUA FRIA,6,2014,,
33,AGUA FRIA,6,2014,,
33,AGUA FRIA,8,2014,,
33,AGUA FRIA,9,2014,,
33,AGUA FRIA,10,2014,,
33,AGUA FRIA,10,2014,,
33,AGUA FRIA,11,2014,,
33,AGUA FRIA,11,2014,,
33,AGUA FRIA,11,2014,,
33,AGUA FRIA,12,2014,,
33,AGUA FRIA,16,2014,,
33,AGUA FRIA,16,2014,,
33,AGUA FRIA,17,2014,,
33,AGUA FRIA,19,2014,,
33,AGUA FRIA,20,2014,,
33,AGUA FRIA,20,2014,,
33,AGUA FRIA,21,2014,,
33,AGUA FRIA,22,2014,,
33,AGUA FRIA,22,2014,,
33,AGUA FRIA,24,2014,,
33,AGUA FRIA,28,2014,,
34,FUNDAO,9,2014,,
34,FUNDAO,9,2014,,
34,FUNDAO,12,2014,,
34,FUNDAO,28,2014,,
35,CAJUEIRO,2,2014,,
35,CAJUEIRO,6,2014,,
35,CAJUEIRO,7,2014,,
35,CAJUEIRO,11,2014,,
35,CAJUEIRO,11,2014,,
35,CAJUEIRO,19,2014,,
35,CAJUEIRO,21,2014,,
35,CAJUEIRO,23,2014,,
35,CAJUEIRO,27,2014,,
36,PORTO DA MADEIRA,22,2014,,
36,PORTO DA MADEIRA,25,2014,,
37,BEBERIBE,1,2014,,
37,BEBERIBE,8,2014,,
37,BEBERIBE,9,2014,,
37,BEBERIBE,9,2014,,
37,BEBERIBE,11,2014,,
37,BEBERIBE,11,2014,,
37,BEBERIBE,11,2014,,
37,BEBERIBE,11,2014,,
37,BEBERIBE,11,2014,,
37,BEBERIBE,20,2014,,
37,BEBERIBE,21,2014,,
37,BEBERIBE,21,2014,,
37,BEBERIBE,21,2014,,
37,BEBERIBE,22,2014,,
37,BEBERIBE,22,2014,,
37,BEBERIBE,25,2014,,
37,BEBERIBE,27,2014,,
38,LINHA DO TIRO,2,2014,,
38,LINHA DO TIRO,6,2014,,
38,LINHA DO TIRO,7,2014,,
38,LINHA DO TIRO,11,2014,,
38,LINHA DO TIRO,15,2014,,
38,LINHA DO TIRO,17,2014,,
38,LINHA DO TIRO,18,2014,,
38,LINHA DO TIRO,19,2014,,
38,LINHA DO TIRO,19,2014,,
38,LINHA DO TIRO,21,2014,,
38,LINHA DO TIRO,22,2014,,
38,LINHA DO TIRO,22,2014,,
39,DOIS UNIDOS,1,2014,,
39,DOIS UNIDOS,2,2014,,
39,DOIS UNIDOS,2,2014,,
39,DOIS UNIDOS,4,2014,,
39,DOIS UNIDOS,5,2014,,
39,DOIS UNIDOS,8,2014,,
39,DOIS UNIDOS,8,2014,,
39,DOIS UNIDOS,10,2014,,
39,DOIS UNIDOS,13,2014,,
39,DOIS UNIDOS,14,2014,,
39,DOIS UNIDOS,15,2014,,
39,DOIS UNIDOS,15,2014,,
39,DOIS UNIDOS,17,2014,,
39,DOIS UNIDOS,17,2014,,
39,DOIS UNIDOS,18,2014,,
39,DOIS UNIDOS,18,2014,,
39,DOIS UNIDOS,19,2014,,
39,DOIS UNIDOS,19,2014,,
39,DOIS UNIDOS,19,2014,,
39,DOIS UNIDOS,19,2014,,
39,DOIS UNIDOS,19,2014,,
39,DOIS UNIDOS,20,2014,,
39,DOIS UNIDOS,21,2014,,
39,DOIS UNIDOS,22,2014,,
39,DOIS UNIDOS,22,2014,,
39,DOIS UNIDOS,22,2014,,
39,DOIS UNIDOS,22,2014,,
39,DOIS UNIDOS,23,2014,,
39,DOIS UNIDOS,23,2014,,
39,DOIS UNIDOS,23,2014,,
39,DOIS UNIDOS,23,2014,,
39,DOIS UNIDOS,24,2014,,
39,DOIS UNIDOS,25,2014,,
40,PASSARINHO,5,2014,,
40,PASSARINHO,10,2014,,
40,PASSARINHO,10,2014,,
40,PASSARINHO,14,2014,,
40,PASSARINHO,19,2014,,
40,PASSARINHO,20,2014,,
40,PASSARINHO,20,2014,,
41,GUABIRABA,4,2014,,
41,GUABIRABA,7,2014,,
41,GUABIRABA,11,2014,,
41,GUABIRABA,11,2014,,
41,GUABIRABA,14,2014,,
41,GUABIRABA,16,2014,,
41,GUABIRABA,20,2014,,
41,GUABIRABA,20,2014,,
41,GUABIRABA,21,2014,,
42,BOMBA DO HEMETERIO,11,2014,,
42,BOMBA DO HEMETERIO,16,2014,,
42,BOMBA DO HEMETERIO,22,2014,,
42,BOMBA DO HEMETERIO,26,2014,,
43,CASA AMARELA,14,2014,,
43,CASA AMARELA,52,2014,,
43,CASA AMARELA,1,2014,,
43,CASA AMARELA,1,2014,,
43,CASA AMARELA,2,2014,,
43,CASA AMARELA,2,2014,,
43,CASA AMARELA,2,2014,,
43,CASA AMARELA,2,2014,,
43,CASA AMARELA,3,2014,,
43,CASA AMARELA,3,2014,,
43,CASA AMARELA,3,2014,,
43,CASA AMARELA,3,2014,,
